
Trained 200 at 43.88611674308777 seconds for [10000, 3675, 10000] epochs and to a loss of ['0.792', '0.2', '0.413']
Trained 204 at 75.48167133331299 seconds for [10000, 282, 10000] epochs and to a loss of ['0.777', '0.2', '0.301']
Trained 208 at 105.97264885902405 seconds for [10000, 365, 10000] epochs and to a loss of ['0.447', '0.2', '0.275']
Trained 212 at 139.0910725593567 seconds for [10000, 413, 10000] epochs and to a loss of ['0.443', '0.2', '0.261']
Trained 216 at 167.81942415237427 seconds for [6918, 446, 10000] epochs and to a loss of ['0.2', '0.2', '0.255']
Trained 220 at 184.71893167495728 seconds for [163, 442, 10000] epochs and to a loss of ['0.2', '0.2', '0.251']
Trained 224 at 201.6005561351776 seconds for [247, 437, 10000] epochs and to a loss of ['0.2', '0.2', '0.247']
Trained 228 at 219.52510690689087 seconds for [335, 484, 10000] epochs and to a loss of ['0.2', '0.2', '0.245']
Trained 232 at 236.63430261611938 seconds for [403, 519, 10000] epochs and to a loss of ['0.2', '0.2', '0.244']
Trained 236 at 254.15351510047913 seconds for [445, 531, 10000] epochs and to a loss of ['0.2', '0.2', '0.244']
Trained 240 at 271.4986960887909 seconds for [479, 540, 10000] epochs and to a loss of ['0.2', '0.2', '0.244']
Trained 244 at 289.00405979156494 seconds for [494, 562, 10000] epochs and to a loss of ['0.2', '0.2', '0.244']
Trained 248 at 306.41384863853455 seconds for [516, 574, 10000] epochs and to a loss of ['0.2', '0.2', '0.244']
Trained 252 at 323.91116285324097 seconds for [515, 608, 10000] epochs and to a loss of ['0.2', '0.2', '0.245']
Trained 256 at 341.4184432029724 seconds for [525, 676, 10000] epochs and to a loss of ['0.2', '0.2', '0.246']
Trained 260 at 359.0208809375763 seconds for [534, 769, 10000] epochs and to a loss of ['0.2', '0.2', '0.247']
Trained 264 at 376.85660886764526 seconds for [550, 878, 10000] epochs and to a loss of ['0.2', '0.2', '0.248']
Trained 268 at 394.848424911499 seconds for [558, 969, 10000] epochs and to a loss of ['0.2', '0.2', '0.251']
Trained 272 at 413.1183702945709 seconds for [563, 1066, 10000] epochs and to a loss of ['0.2', '0.2', '0.254']
Trained 276 at 431.45034742355347 seconds for [568, 1162, 10000] epochs and to a loss of ['0.2', '0.2', '0.253']
Trained 280 at 450.0718638896942 seconds for [583, 1325, 10000] epochs and to a loss of ['0.2', '0.2', '0.252']
Trained 284 at 469.07001662254333 seconds for [613, 1493, 10000] epochs and to a loss of ['0.2', '0.2', '0.251']
