
Trained 200 at 57.62289071083069 seconds for [10000, 10000, 10000] epochs and to a loss of ['0.899', '1.561', '0.314']
Trained 204 at 97.72452449798584 seconds for [10000, 10000, 3802] epochs and to a loss of ['0.787', '1.239', '0.2']
Trained 208 at 132.19752168655396 seconds for [10000, 10000, 574] epochs and to a loss of ['0.762', '1.149', '0.2']
Trained 212 at 167.01675987243652 seconds for [10000, 10000, 931] epochs and to a loss of ['0.753', '1.111', '0.2']
Trained 216 at 202.24873995780945 seconds for [10000, 10000, 1113] epochs and to a loss of ['0.749', '1.089', '0.2']
Trained 220 at 237.79623794555664 seconds for [10000, 10000, 1247] epochs and to a loss of ['0.747', '0.847', '0.2']
Trained 224 at 273.22293281555176 seconds for [10000, 10000, 1303] epochs and to a loss of ['0.746', '0.776', '0.2']
Trained 228 at 309.0472662448883 seconds for [10000, 10000, 1368] epochs and to a loss of ['0.745', '0.756', '0.2']
Trained 232 at 344.6269211769104 seconds for [10000, 10000, 1335] epochs and to a loss of ['0.745', '0.746', '0.2']
Trained 236 at 379.84163308143616 seconds for [10000, 10000, 1256] epochs and to a loss of ['0.439', '0.742', '0.2']
Trained 240 at 414.92352962493896 seconds for [10000, 10000, 1193] epochs and to a loss of ['0.417', '0.74', '0.2']
Trained 244 at 449.9042294025421 seconds for [10000, 10000, 1182] epochs and to a loss of ['0.416', '0.739', '0.2']
Trained 248 at 485.04215717315674 seconds for [10000, 10000, 1199] epochs and to a loss of ['0.415', '0.74', '0.2']
Trained 252 at 520.2013049125671 seconds for [10000, 10000, 1221] epochs and to a loss of ['0.415', '0.742', '0.2']
Trained 256 at 555.3172845840454 seconds for [10000, 10000, 1228] epochs and to a loss of ['0.415', '0.744', '0.2']
Trained 260 at 590.3054559230804 seconds for [10000, 10000, 1220] epochs and to a loss of ['0.415', '0.746', '0.2']
Trained 264 at 625.5419337749481 seconds for [10000, 10000, 1165] epochs and to a loss of ['0.415', '0.747', '0.2']
Trained 268 at 660.4971816539764 seconds for [10000, 10000, 1082] epochs and to a loss of ['0.411', '0.747', '0.2']
Trained 272 at 695.5732600688934 seconds for [10000, 10000, 1021] epochs and to a loss of ['0.404', '0.416', '0.2']
Trained 276 at 730.2794046401978 seconds for [10000, 10000, 959] epochs and to a loss of ['0.404', '0.401', '0.2']
Trained 280 at 764.9368510246277 seconds for [10000, 10000, 920] epochs and to a loss of ['0.404', '0.4', '0.2']
Trained 284 at 799.6631345748901 seconds for [10000, 10000, 899] epochs and to a loss of ['0.401', '0.401', '0.2']
Trained 288 at 834.2831845283508 seconds for [10000, 10000, 906] epochs and to a loss of ['0.397', '0.403', '0.2']
Trained 292 at 868.70618724823 seconds for [10000, 10000, 909] epochs and to a loss of ['0.398', '0.405', '0.2']
Trained 296 at 903.4509043693542 seconds for [10000, 10000, 959] epochs and to a loss of ['0.397', '0.406', '0.2']
Trained 300 at 938.2244849205017 seconds for [10000, 10000, 978] epochs and to a loss of ['0.397', '0.405', '0.2']
Trained 304 at 973.1238420009613 seconds for [10000, 10000, 986] epochs and to a loss of ['0.394', '0.399', '0.2']
Trained 308 at 1008.0851159095764 seconds for [10000, 10000, 1003] epochs and to a loss of ['0.39', '0.385', '0.2']
Trained 312 at 1030.8605151176453 seconds for [10000, 2638, 988] epochs and to a loss of ['0.389', '0.2', '0.2']
Trained 316 at 1049.5658831596375 seconds for [10000, 304, 978] epochs and to a loss of ['0.389', '0.2', '0.2']
Trained 320 at 1068.7311947345734 seconds for [10000, 664, 976] epochs and to a loss of ['0.389', '0.2', '0.2']
Trained 324 at 1088.5805847644806 seconds for [10000, 969, 1037] epochs and to a loss of ['0.38', '0.2', '0.2']
Trained 328 at 1109.0395755767822 seconds for [10000, 1196, 1053] epochs and to a loss of ['0.381', '0.2', '0.2']
Trained 332 at 1129.8721549510956 seconds for [10000, 1416, 1059] epochs and to a loss of ['0.381', '0.2', '0.2']
Trained 336 at 1150.8879263401031 seconds for [10000, 1557, 1081] epochs and to a loss of ['0.375', '0.2', '0.2']
Trained 340 at 1158.9853730201721 seconds for [2092, 1553, 1161] epochs and to a loss of ['0.199', '0.2', '0.2']
Trained 344 at 1163.8182728290558 seconds for [22, 1516, 1337] epochs and to a loss of ['0.199', '0.2', '0.2']
